Name,Size,Type,CR,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,Font,Author
Su-Monster,Medium,Monstrosity,1.00,12,27,"30, climb 30",CE,14,15,12,9,13,9,None,"Athletics, Perception",None,Normal,None,None,Tomb of Annihilation,Wizards of the Coast
Tabaxi Hunter,Medium,Humanoid (Tabaxi),1.00,14,40,"30, climb 20",CG,10,17,11,13,14,15,None,"Athletics, Perception, Stealth, Survival",None,Darkvision 60,"Common, Any",Feline Agility,Tomb of Annihilation,Wizards of the Coast
Thorny,Medium,Plant,1.00,14,27,30,N,13,12,13,2,10,6,None,"Perception, Stealth","Lightningres, piercingres",Darkvision 60,Own,"Plant Camouflage, Regeneration",Volo's Guide to Monsters,Wizards of the Coast
Thri-Kreen,Medium,Humanoid,1.00,15,33,40,CN,12,15,13,8,12,7,None,"Perception, Stealth, Survival",None,Darkvision 60,Own,"Chameleon Carapace, Standing Leap",Monster Manual,Wizards of the Coast
Tiny Servant,Tiny,Construct,1.00,15,10,"30, climb 30",U,4,16,10,2,10,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,None,None,Xanathar's Guide to Everything,Wizards of the Coast
Vargouille,Tiny,Fiend,1.00,12,13,"5, fly 40",CE,6,14,14,4,7,2,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, Infernal, Any",None,Volo's Guide to Monsters,Wizards of the Coast
Xvart Warlock of Raxivort,Small,Humanoid (Xvart),1.00,12,22,30,CE,8,14,12,8,11,12,None,Stealth,None,Darkvision 30,Abyssal,"Innate Spellcasting, Normal Spellcasting, Low Cunning, Raxivort's Blessing, Raxivort's Tongue",Volo's Guide to Monsters,Wizards of the Coast
Yuan-Ti Pureblood,Medium,Monstrosity,1.00,11,40,30,NE,11,12,11,13,12,14,None,"Deception, Perception, Stealth","Poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, Common, Draconic","Innate Spellcasting, Magic Resistance",Monster Manual,Wizards of the Coast
"Zombie, Strahd",Medium,Undead,1.00,8,30,20,U,13,6,16,3,6,5,WIS,None,None,Darkvision 60,Any,Loathsome Limbs,Curse of Strahd,Wizards of the Coast
"Animated Object, Rug of Smothering",Large,Construct,2.00,12,33,10,U,17,14,10,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,"Antimagic, Damage Transfer, False",Monster Manual,Wizards of the Coast
"Animated Object, Table",Large,Construct,2.00,15,39,40,U,18,8,13,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,None,"Antimagic Susceptibility, False Appearance, Charge",Tales from the Yawning Portal,Wizards of the Coast
Ankheg,Large,Monstrosity,2.00,14,39,"30, 10 burrow",U,17,11,13,1,13,6,None,None,None,"Darkvision 60, tremorsense 60",None,None,Monster Manual,Wizards of the Coast
"Assorted Beast, Aurochs",Large,Beast,2.00,11,38,50,U,20,10,19,2,12,5,None,None,None,Normal,None,Charge,Volo's Guide to Monsters,Wizards of the Coast
Awakened Zurkhwood,Huge,Plant,2.00,13,59,20,U,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Any,False Appearance,Out of the Abyss,Wizards of the Coast
Azer,Medium,Elemental,2.00,17,39,30,LN,17,12,15,12,13,10,CON,None,"Fireimmu, poisonimmu, poisonimmu",Normal,Ignan,"Heated Body, Heated Weapons, Illumination",Monster Manual,Wizards of the Coast
Berbalang,Medium,Aberration,2.00,14,38,"30, fly 40",NE,9,16,9,17,11,10,None,"Arcana, History, Insight, Perception, Religion",None,Truesight 120,All,"Spectral Duplicate, Innate Spellcasting",Mordenkainen's Tome of Foes,Wizards of the Coast
Black Earth Guard,Medium,Humanoid (Human),2.00,18,39,30,NE,17,11,14,10,10,9,None,"Intimidation, Perception",None,Normal,Common,None,Princes of the Apocalypse,Wizards of the Coast
Carrion Crawler,Large,Monstrosity,2.00,13,51,"30, 30 climb",U,14,13,16,1,12,5,None,Perception,None,Darkvision 60,None,"Keen Smell, Spider Climb",Monster Manual,Wizards of the Coast
Centaur,Large,Monstrosity,2.00,12,45,50,NG,18,14,14,9,13,11,None,"Athletics, Perception, Survival",None,Normal,"Elvish, Sylvan",Charge,Monster Manual,Wizards of the Coast
Crushing Wave Priest,Medium,Humanoid (Human),2.00,13,52,30,NE,15,11,14,10,11,16,None,"Deception, Religion, Stealth",None,Normal,"Aquan, COmmon",Normal Spellcasting,Princes of the Apocalypse,Wizards of the Coast
"Crushing Wave, Fathomer",Medium,Humanoid (Human),2.00,10,52,30,NE,14,11,14,11,11,15,None,"Arcana, Perception, Stealth",None,Normal,"Aquan, Common","Shapechanger, Olhydra's Armor, Normal Spellcasting",Princes of the Apocalypse,Wizards of the Coast
Darkling Elder,Medium,Fey,2.00,15,27,30,CN,13,17,12,10,14,13,None,"Acrobatics, Deception, Perception, Stealth",None,"Blindsight 30, darkvision 120","Elvish, Sylvan",Death Burn,Volo's Guide to Monsters,Wizards of the Coast
"Demon, Rutterkin",Medium,Fiend (Demon),2.00,12,37,20,CE,14,15,17,5,12,6,None,None,"COldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,Crippling Fear,Mordenkainen's Tome of Foes,Wizards of the Coast
"Devil, Spined",Small,Fiend (Devil),2.00,15,22,"20, 40 fly",LE,10,15,12,11,14,8,None,None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Flyby, Limited Spines, Magic Resistance",Monster Manual,Wizards of the Coast
"Dinosaur, Allosaurus",Large,Beast,2.00,13,51,60,U,19,13,17,2,12,5,None,Perception,None,Normal,None,Pounce,Monster Manual,Wizards of the Coast
"Dinosaur, Plesiosaurus",Large,Beast,2.00,13,68,"20, swim 40",U,18,15,16,2,12,5,None,"Perception, Stealth",None,Normal,None,Hold Breath,Monster Manual,Wizards of the Coast
"Dinosaur, Quetzalcoatlus",Huge,Beast,2.00,13,30,"10, fly 80",U,15,13,13,2,10,5,None,Perception,None,Normal,None,"Dive Attack, FLyby",Volo's Guide to Monsters,Wizards of the Coast
"Dragon, Chromatic, Black, Wyrmling",Medium,Dragon,2.00,17,33,"30, fly 60, 30 swim",CE,15,14,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",Amphibious,Monster Manual,Wizards of the Coast
"Dragon, Chromatic, Green, Wyrmling",Medium,Dragon,2.00,17,38,"30, fly 60, swim 30",LE,15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120",Draconic,Amphibious,Monster Manual,Wizards of the Coast
"Dragon, Chromatic, White, Wyrmling",Medium,Dragon,2.00,16,32,"30, burrow 15, fly 60, swim 30",CE,14,10,14,5,10,11,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,Ice Walk,Monster Manual,Wizards of the Coast
"Dragon, Metallic, Bronze, Wyrmling",Medium,Dragon,2.00,17,32,"30, fly 60, swim 30",LG,17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,Amphibious,Monster Manual,Wizards of the Coast
"Dragon, Metallic, Silver, Wyrmling",Medium,Dragon,2.00,17,45,"30, fly 60",LG,19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,None,Monster Manual,Wizards of the Coast
Dragonwing,Medium,Humanoid (Human),2.00,14,32,30,NE,9,16,13,11,10,12,WIS,"Deception, Stealth",None,Normal,"Common, Draconic","Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen,Wizards of the Coast
Duergar Darkhaft,Medium,Humanoid (Dwarf),2.00,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",Out of the Abyss,Wizards of the Coast
Duergar Hammerer,Medium,Humanoid (Dwarf),2.00,17,33,20,LE,17,7,12,5,5,5,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,"Engine of Pain, Siege Monster",Mordenkainen's Tome of Foes,Wizards of the Coast
Duergar Kavalrachni,Medium,Humanoid (Dwarf),2.00,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,Wizards of the Coast
Duergar Keeper of the Flame,Medium,Humanoid (Dwarf),2.00,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",Out of the Abyss,Wizards of the Coast
Duergar Mind Master,Medium,Humanoid (Dwarf),2.00,14,39,25,LE,11,17,14,15,10,12,WIS,"Perception, Stealth",Poisonres,"Darkvision 120, truesight 30","Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,Wizards of the Coast
Duergar Spy,Medium,Humanoid (Dwarf),2.00,15,33,25,LE,10,16,12,12,10,13,None,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Poisonres,Darkvision 120,"Dwarvish, Undercommon","Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",Tales from the Yawning Portal,Wizards of the Coast
Duergar Stone Guard,Medium,Humanoid (Dwarf),2.00,18,39,25,LE,18,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Mordenkainen's Tome of Foes,Wizards of the Coast
Duergar Xarrorn,Medium,Humanoid (Dwarf),2.00,18,26,25,LE,16,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,Wizards of the Coast
Eternal Flame Guardian,Medium,Humanoid (Human),2.00,17,45,30,CE,15,13,14,8,11,13,None,"Intimidation, Perception",Fireres,Normal,Common,Flaming Weapon,Princes of the Apocalypse,Wizards of the Coast
Ettercap,Medium,Monstrosity,2.00,13,44,"30, climb 30",NE,14,15,13,7,12,8,None,"Perception, Stealth, Survival",None,Darkvision 60,None,"Spider Climb, Web Sense, Web Walker",Monster Manual,Wizards of the Coast
Gargoyle,Medium,Elemental,2.00,15,52,"30, fly 60",CE,15,11,16,6,11,7,None,None,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,False Appearance,Monster Manual,Wizards of the Coast
"Ghoul, Ghast",Medium,Undead,2.00,13,36,30,CE,16,17,10,11,10,8,None,None,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,"Stench, Turning Defiance",Monster Manual,Wizards of the Coast
Giant Crayfish,Large,Beast,2.00,15,45,"30, swim 30",U,15,13,13,1,9,3,None,Stealth,None,Blindsight 30,None,Amphibious,Tales from the Yawning Portal,Wizards of the Coast
Gibbering Mouther,Medium,Aberration,2.00,9,67,"10, swim 10",N,10,8,16,3,10,6,None,None,Proneimmu,Darkvision 60,None,"Aberrant Ground, Gibbering",Monster Manual,Wizards of the Coast
Githzerai Monk,Medium,Humanoid,2.00,14,38,30,LN,12,15,12,13,14,10,"STR, DEX, INT, WIS","Insight, Perception",None,Normal,Own,"Innate Spellcasting (Psionics), Psychic Defense",Monster Manual,Wizards of the Coast
Gnoll Pack Lord,Medium,Humanoid,2.00,15,49,30,CE,16,14,13,8,11,9,None,None,None,Darkvision 60,Gnoll,Rampage,Monster Manual,Wizards of the Coast
Grick,Medium,Monstrosity,2.00,14,27,"30, climb 30",N,14,14,11,3,14,5,None,None,Nonmagicalres,Darkvision 60,None,Stone Camouflage,Monster Manual,Wizards of the Coast
Griffon,Large,Monstrosity,2.00,12,59,"30, fly 80",U,18,15,16,2,13,8,None,Perception,None,Darkvision 60,None,Keen Sight,Monster Manual,Wizards of the Coast
Grung Elite Warrior,Small,Humanoid (Grung),2.00,13,49,"25, climb 25",LE,7,16,15,10,11,12,DEX,"Athletics, Perception, Stealth, Survival","Poisonimmu, poisonedimmu",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap",Volo's Guide to Monsters,Wizards of the Coast
Guard Drake,Medium,Dragon,2.00,14,52,30,U,16,11,16,4,10,7,None,Perception,None,Darkvision 60,"Draconic, Ignan",None,Volo's Guide to Monsters,Wizards of the Coast
"Hag, Sea",Medium,Fey,2.00,14,52,"30, swim 40",CE,16,13,16,12,12,13,None,None,None,Darkvision 60,"Aquan, Common, Giant","Amphibious, Horrific Appearance",Monster Manual,Wizards of the Coast
Hobgoblin Iron Shadow,Medium,Humanoid (Goblinoid),2.00,15,32,40,LE,14,16,15,14,15,11,None,"Acrobatics, Athletics, Stealth",None,Darkvision 60,"Common, Goblin","Normal Spellcasting, Unarmored Defense",Volo's Guide to Monsters,Wizards of the Coast
Howling Hatred Priest,Medium,Humanoid (Human),2.00,15,45,30,NE,12,16,10,14,10,14,None,"Acrobatics, Intimidation, Religion",None,Normal,"Auran, Common","Hold Breath, Normal Spellcasting",Princes of the Apocalypse,Wizards of the Coast
"Howling Hatred, Hurricane",Medium,Humanoid (Human),2.00,14,33,45,LE,12,16,13,10,12,10,None,Acrobatics,None,Normal,"Auran, Common","Normal Spellcasting, Unarmored Defense, Unarmored Movement",Princes of the Apocalypse,Wizards of the Coast
Intellect Devourer,Tiny,Aberration,2.00,12,21,40,LE,6,14,13,12,11,10,None,"Perception, Stealth","Nonmagicalres, blindedimmu",Blindsight 60,"Deep Speech, telepathy 60",Detect Sentience,Monster Manual,Wizards of the Coast
"Ixitxachitl, Vampiric",Medium,Aberration,2.00,16,44,swim 30,CE,14,18,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",Regeneration,Out of the Abyss,Wizards of the Coast
"Kruthik, Adult",Medium,Monstrosity,2.00,18,39,"40, burrow 20, climb 40",U,15,16,15,7,12,8,None,None,None,"Darkvision 60, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,Wizards of the Coast
Lizardfolk Shaman,Medium,Humanoid,2.00,13,27,"30, swim 30",N,15,10,13,10,15,8,None,"Perception, Stealth, Survival",None,Normal,Draconic,"Hold Breath, Normal Spellcasting",Monster Manual,Wizards of the Coast
"Lycanthrope, Wererat",Medium,Humanoid,2.00,12,33,30,LE,10,15,12,11,10,8,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,"Shapechanger, Keen Smell",Monster Manual,Wizards of the Coast
"Lycanthrope, Wereraven",Medium,"Humanoid (Human)
Humanoid (Shapechanger)",2.00,12,31,30,LG,10,15,11,13,15,14,None,"Insight, Perception","Nonmagicalimmu, nonsilveredimmu",Normal,Common,"Shapechanger, Mimicry",Curse of Strahd,Wizards of the Coast
Meenlock,Small,Fey,2.00,15,31,30,NE,7,15,12,11,10,8,None,"Perception, Stealth, Survival",Frightenedimmu,Darkvision 120,Telepathy 120,"Fear Aura, Light Sensitivity, Shadow Teleport",Volo's Guide to Monsters,Wizards of the Coast
Merrow,Large,Monstrosity,2.00,13,45,"10, swim 40",CE,18,10,15,8,10,9,None,"Death Burst, Innate Spellcasting",None,Darkvision 60,"Abyssal, Aquan",Amphibious,Monster Manual,Wizards of the Coast
Mimic,Medium,Monstrosity,2.00,12,58,15,N,17,12,15,5,13,8,None,Stealth,"Acidimmu, proneimmu",Darkvision 60,None,"Shapechanger, Adhesive, False Appearance, Grappler",Monster Manual,Wizards of the Coast
"Misc. Creature, Awakened Tree",Huge,Plant,2.00,13,59,20,U,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Creator,False Appearance,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Boar",Large,Beast,2.00,12,42,40,U,17,10,16,2,7,5,None,None,None,Normal,None,"Charge, Relentless",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Constrictor Snake",Huge,Beast,2.00,12,60,"30, swim 30",U,19,14,12,1,10,3,None,Perception,None,Blindsight 10,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Elk",Huge,Beast,2.00,14,42,60,U,19,16,14,7,14,10,None,Perception,None,Normal,"Own, Common, Elvish, Sylvan",Charge,Monster Manual,Wizards of the Coast
"Misc. Creature, Hunter Shark",Large,Beast,2.00,12,45,swim 40,U,18,13,15,1,10,4,None,Perception,None,Blindsight 30,None,"Blood Frenzy, Water Breathing",Monster Manual,Wizards of the Coast
"Misc. Creature, Polar Bear",Large,Beast,2.00,12,42,"40, swim 30",U,20,10,16,2,13,7,None,Perception,None,Normal,None,Keen Smell,Monster Manual,Wizards of the Coast
"Misc. Creature, Rhinoceros",Large,Beast,2.00,11,45,40,U,21,8,15,2,12,6,None,None,None,Normal,None,Charge,Monster Manual,Wizards of the Coast
"Misc. Creature, Saber-Toothed Tiger",Large,Beast,2.00,12,52,40,U,18,14,15,3,12,8,None,"Perception, Stealth",None,Normal,None,"Keen Smell, Pounce",Monster Manual,Wizards of the Coast
"Misc. Creature, Swarm of Poisonous Snakes",Medium,Beast,2.00,14,36,"30, swim 30",U,8,18,11,1,10,3,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,None,Swarm,Monster Manual,Wizards of the Coast
"Modron, Pentadrone",Large,Construct,2.00,16,32,40,LN,15,14,12,10,10,13,None,Perception,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration",Monster Manual,Wizards of the Coast
Myconid Sovereign,Large,Plant,2.00,13,60,30,LN,12,10,14,13,15,10,None,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness",Monster Manual,Wizards of the Coast
Nereid,Medium,Fey,2.00,13,44,"30, swim 60",ANY CHAOTIC,10,17,12,13,14,16,None,"Acrobatics, Nature, Stealth, Survival",None,Darkvision 60,"Aquan, Common, Elvish, Sylvan","Amphibious, Aquatic Invisibility, Mantle Dependent, Shape Water, Speak with Animals",Tales from the Yawning Portal,Wizards of the Coast
Nothic,Medium,Aberration,2.00,15,45,30,NE,14,16,16,13,10,8,None,"Arcana, Insight, Perception, Stealth",None,Truesight 120,Undercommon,Keen Sight,Monster Manual,Wizards of the Coast
"NPC, Bandit Captain",Medium,Humanoid,2.00,15,65,30,NOT LAWFUL,15,16,14,14,11,14,"STR, DEX, WIS","Athletics, Deception",None,Normal,Any,None,Monster Manual,Wizards of the Coast
"NPC, Bard",Medium,Humanoid (Any Race),2.00,15,44,30,ANY,11,14,12,10,13,14,"DEX, WIS","Acrobatics, Perception, Performance",None,Normal,Any,"Normal SPellcasting, Song of Rest, Taunt",Volo's Guide to Monsters,Wizards of the Coast
"NPC, Berserker",Medium,Humanoid,2.00,13,67,30,ANY CHAOTIC,16,12,17,9,11,9,None,None,None,Normal,Any,Reckless,Monster Manual,Wizards of the Coast
"NPC, Cult Fanatic",Medium,Humanoid,2.00,13,33,30,NOT GOOD,11,14,12,10,13,14,None,"Deception, Persuasion, Religion",None,Normal,Any,"Dark Devotion, Normal Spellcasting",Monster Manual,Wizards of the Coast
"NPC, Druid",Medium,Humanoid,2.00,11,27,30,ANY,10,12,13,12,15,11,None,"Medicine, Nature, Perception",None,Normal,"Druidic, Any",Normal Spellcasting,Monster Manual,Wizards of the Coast
"NPC, Priest",Medium,Humanoid,2.00,13,27,25,ANY,10,10,12,13,16,13,None,"Medicine, Persuasion, Religion",None,Normal,Any,"Divine Eminence, Spellcasting",Monster Manual,Wizards of the Coast
Ogre,Large,Giant,2.00,11,59,40,CE,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",None,Monster Manual,Wizards of the Coast
Ogre Bolt Launcher,Large,Giant,2.00,13,59,40,CE,19,12,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",None,Mordenkainen's Tome of Foes,Wizards of the Coast
Ogre Howdah,Large,Giant,2.00,13,59,40,CE,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",Howdah,Mordenkainen's Tome of Foes,Wizards of the Coast
"Ooze, Gelatinous Cube",Large,Ooze,2.00,6,84,15,U,14,3,20,1,6,1,None,None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,"Ooze Cube, Transparent",Monster Manual,Wizards of the Coast
"Ooze, Ochre Jelly",Large,Ooze,2.00,8,45,"10, climb 10",U,15,6,14,2,6,1,None,None,"Acidres, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,"Amorphous, Spider Climb",Monster Manual,Wizards of the Coast
Orc Claw of Luthic,Medium,Humanoid (Orc),2.00,14,45,30,CE,14,15,16,10,15,11,None,"Intimidation, Medicine, Survival",None,Darkvision 60,"COmmon, Orc","Aggressive, Normal Spellcasting",Volo's Guide to Monsters,Wizards of the Coast
Orc Eye of Gruumsh,Medium,Humanoid,2.00,16,45,30,CE,16,12,16,9,13,12,None,"Intimidation, Religion",None,Darkvision 60,"Common, Orc","Aggressive, Gruumsh's Fury, Normal Spellcasting",Monster Manual,Wizards of the Coast
Orc Hand of Yurtrus,Medium,Humanoid (Orc),2.00,12,30,30,CE,12,11,16,11,14,9,None,"Arcana, Intimidation, Medicine, Religion",None,Darkvision 60,"Common, Orc","Aggressive, Normal Spellcasting",Volo's Guide to Monsters,Wizards of the Coast
"Orc, Orog",Medium,Humanoid,2.00,18,42,30,CE,18,12,18,12,11,12,None,"Intimidation, Survival",None,Darkvision 60,"Common, Orc",Aggressive,Monster Manual,Wizards of the Coast
Pegasus,Large,Celestial,2.00,12,59,"60, fly 90",CG,18,15,16,10,15,13,"DEX, WIS, CHA",Perception,None,Normal,"Celestial, Common, Elvish, Sylvan",None,Monster Manual,Wizards of the Coast
Peryton,Medium,Monstrosity,2.00,13,33,"20, fly 60",CE,16,12,13,9,12,10,None,Perception,Nonmagicalres,Normal,"Common, Elvish","Dive Attack, Flyby, Keen Sight, Keen Smell",Monster Manual,Wizards of the Coast
"Purple Worm, Wormling",Large,Monstrosity,2.00,12,42,20,U,16,7,16,1,6,2,None,None,None,"Blindsight 30, tremorsense 30",None,None,Storm King's Thunder,Wizards of the Coast
Quaggoth,Medium,Humanoid,2.00,13,45,"30, climb 30",CN,17,12,16,6,12,7,None,Athletics,"Poisonimmu, poisonedimmu",Darkvision 120,Undercommon,Wounded Fury,Monster Manual,Wizards of the Coast
Sahuagin Priestess,Medium,Humanoid,2.00,12,33,"30, swim 40",LE,13,11,12,12,14,13,None,"Perception, Religion",None,Darkvision 120,Own,"Blood Frenzy, Limited Amphibious, Shark Telepathy, Normal Spellcasting",Monster Manual,Wizards of the Coast
Shadow Mastiff,Medium,Monstrosity,2.00,12,33,40,NE,16,14,13,5,12,5,None,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,None,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,Wizards of the Coast
Shadow Mastiff Alpha,Medium,Monstrosity,2.00,12,48,40,NE,16,14,13,6,12,5,None,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,None,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,Wizards of the Coast
"Skeleton, Minotaur",Large,Undead,2.00,12,67,40,LE,18,11,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Abyssal,Charge,Monster Manual,Wizards of the Coast
Thayan Apprentice,Medium,Humanoid (Human),2.00,12,27,30,NOT GOOD,10,14,12,15,13,11,None,Arcana,None,Normal,"Common, Thayan","Doomvault Devotion, Normal Spellcasting",Tales from the Yawning Portal,Wizards of the Coast
Thayan Warrior,Medium,Humanoid (Human),2.00,16,52,30,NOT GOOD,16,13,14,10,11,11,None,Perception,None,Normal,"Common, Thayan","Doomvault Devotion, Pack Tactics",Tales from the Yawning Portal,Wizards of the Coast
Tortle Druid,Medium,Humanoid (Tortle),2.00,17,33,30,LN,14,10,12,11,15,12,None,"Animal Handling, Nature, Survival",None,Normal,"Aquan, Common","Hold Breath, Normal Spellcasting",Mordenkainen's Tome of Foes,Wizards of the Coast
Uthgardt Shaman,Medium,Humanoid (Human),2.00,13,38,30,NE,14,12,13,10,15,12,None,"Medicine, Nature, Perception, Survival",None,Normal,"Bothii, COmmon",Innate Spellcasting,Storm King's Thunder,Wizards of the Coast
Vegepygmy Chief,Small,Plant,2.00,14,33,30,N,14,14,14,7,12,9,None,"Perception, Stealth","Lightningres, piercingres",Darkvision 60,Own,"Plant Camouflage, Regeneration",Volo's Guide to Monsters,Wizards of the Coast
Will-O'-Wisp,Tiny,Undead,2.00,19,22,fly 50,CE,1,28,10,13,14,11,None,None,"Lightningimmu, poisonimmu, acidres, coldres, fireres, necroticres, thunderres, nonmagicalres, exhaustionimmu, grappledimmu, paralyzedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 120,Any,"Consume Life, Ephemeral, Incorporeal Movement, Variable Illumination",Monster Manual,Wizards of the Coast
Yellow Musk Creeper,Medium,Plant,2.00,6,60,"5, climb 5",U,12,3,12,1,10,3,None,None,"Blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 30,None,"False Appearance, Regeneration",Tomb of Annihilation,Wizards of the Coast
Yuan-Ti Broodguard,Medium,Humanoid (Yuan-Ti),2.00,14,45,30,NE,15,14,14,6,11,4,"STR, DEX, WIS",Perception,"Poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, Common, Draconic","Mental Resistance, Reckless",Volo's Guide to Monsters,Wizards of the Coast
"Zombie, Ogre",Large,Undead,2.00,8,93,30,NE,19,6,18,3,6,5,WIS,None,"Poisonimmu, poisonedimmu",Darkvision 60,"Common, Giant",Undead Fortitude,Monster Manual,Wizards of the Coast
"Zuggtmoy, Chamberlain",Large,Plant,2.00,13,45,20,CE,17,7,14,11,8,12,None,None,"Bludgeoningres, piercingres",Darkvision 60,"Abyssal, Undercommon","Mushroom Portal, Poison Spores",Out of the Abyss,Wizards of the Coast
Assassin Vine,Large,Plant,3.00,13,85,"5, climb 5",U,18,10,16,1,10,1,None,None,"Coldres, fireres, blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 30,None,False Appearance,Tomb of Annihilation,Wizards of the Coast
Basilisk,Medium,Monstrosity,3.00,15,52,30,U,16,8,15,2,8,7,"STR, CON, WIS, CHA","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilvered immu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120","Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,Wizards of the Coast
